tool,map_name,generation_id,scenario_id,start_time,file_path,crit_MDBV,crit_min_TTC,crit_TET_total,crit_TET_max,func_completion_rate,func_route_stability,func_time_to_completion,func_total_planned_distance,func_actual_distance_traveled,func_max_progress_reached,func_dev_mean,func_dev_rmse,func_dev_mae,func_dev_max,func_dev_std,dyn_mean_speed,dyn_max_speed,dyn_mean_long_acc,dyn_p95_long_acc,dyn_max_long_acc,ev_collision,ev_red_light,ev_speeding,ev_stop_sign,total_failures,is_critical
ScenarioFuzzLLM,Town03,4,3,2025-09-23_10-51-36,logs/enriched/tool1/2025-09-23_11-09-43/log/4_3_log_basic.json,6.762678749126361,1.1326923138768836,2.4,1.92,100.0,95.55695879223362,97.24,212.63975890868298,207.98421019388718,212.63975890868298,0.22723844574789237,0.4771718358122309,0.22723844574789237,3.4724594007705774,0.41958985886994077,2.0735994236050868,7.530028679892262,0.5760642411437055,2.975735801995249,15.265333521518432,0,0,0,1,1,True
ScenarioFuzzLLM,Town03,1,1,2025-09-23_10-07-45,logs/enriched/tool1/2025-09-23_11-09-43/log/1_1_log_basic.json,1.352700512685044,0.20736031366762925,6.32,1.2,100.0,95.50869413058271,97.24,212.63975890868298,208.07628821731495,212.63975890868298,0.22976452314271373,0.4742315412019427,0.22976452314271373,3.4119336511720144,0.41485397259249107,2.077123228822454,7.50598110442599,0.8049143429096975,4.08866858137492,15.39071991451355,0,0,0,1,1,True
ScenarioFuzzLLM,Town03,4,2,2025-09-23_10-48-52,logs/enriched/tool1/2025-09-23_11-09-43/log/4_2_log_basic.json,0.0,0.0,29.76,5.32,68.97793696136047,94.75723534525696,,806.8409532414147,548.0078511919858,556.542244105303,0.2692599122904934,0.6610844195353489,0.2692599122904934,4.35459371155072,0.6037646142212252,5.104213984241183,11.421110934142966,0.974602139465036,3.9620579215828746,77.46172847525827,1,0,0,1,2,True
ScenarioFuzzLLM,Town03,3,2,2025-09-23_10-33-56,logs/enriched/tool1/2025-09-23_11-09-43/log/3_2_log_basic.json,5.661400763945239,0.9812178301121048,3.92,2.92,100.0,97.22355921810714,95.16,170.3390754829899,167.47561431931277,170.3390754829899,0.14078562551790105,0.361928940529773,0.14078562551790105,2.7345005119765626,0.33342460263234525,1.7031274836822705,7.50715990105446,0.562227581749978,3.235108764612202,14.421257183600611,0,0,0,1,1,True
ScenarioFuzzLLM,Town03,2,3,2025-09-23_10-24-38,logs/enriched/tool1/2025-09-23_11-09-43/log/2_3_log_basic.json,0.0,0.0,4.88,3.2,34.17314432372677,90.57092169646562,,806.8409532414147,269.6476244382675,275.72292341412145,0.49518488516550757,1.0030381610596768,0.49518488516550757,4.354652413761142,0.8722829139938495,6.566610452583463,7.514128248173569,0.7795106841395353,2.983249746471295,219.07418942028445,1,0,0,0,1,True
ScenarioFuzzLLM,Town03,1,2,2025-09-23_10-10-36,logs/enriched/tool1/2025-09-23_11-09-43/log/1_2_log_basic.json,0.0,0.0,4.6,2.64,9.293630437574231,82.96979855644938,,806.8409532414147,74.95158211953138,74.98481641325819,0.9334675861156626,1.5827111303915216,0.9334675861156626,4.35459371155072,1.2781286273050168,5.083418886251592,7.51412824817357,1.5847932393118809,5.20685499931996,30.225760934029022,1,0,0,0,1,True
ScenarioFuzzLLM,Town03,5,1,2025-09-23_10-58-05,logs/enriched/tool1/2025-09-23_11-09-43/log/5_1_log_basic.json,1.4334380795580952,0.24096976831860778,3.12,1.32,100.0,95.13563868919101,97.24,212.63975890868298,207.8414156820517,212.63975890868298,0.24933268507194578,0.48655691417525,0.24933268507194578,3.435678826665845,0.41781675754636205,2.073123545678402,7.520483684577742,0.6106440301556001,2.944728223148648,15.391340361423811,0,0,0,1,1,True
ScenarioFuzzLLM,Town03,1,0,2025-09-23_10-04-52,logs/enriched/tool1/2025-09-23_11-09-43/log/1_0_log_basic.json,4.438843176339819,0.8081596928707425,6.48,2.12,100.0,95.63644233546259,97.56,212.63975890868298,208.12852603500312,212.63975890868298,0.22308121294910851,0.4845558672158594,0.22308121294910851,3.6061751760001846,0.4301501608537047,2.0713386195594867,7.515203167579703,0.7149181669474193,3.378293804204715,16.76181941881485,0,0,0,1,1,True
ScenarioFuzzLLM,Town03,4,4,2025-09-23_10-54-14,logs/enriched/tool1/2025-09-23_11-09-43/log/4_4_log_basic.json,1.9597915642743853,0.4011890834610769,8.28,3.08,100.0,97.22355921810714,95.16,170.3390754829899,167.47561431931277,170.3390754829899,0.14078562551790105,0.361928940529773,0.14078562551790105,2.7345005119765626,0.33342460263234525,1.7031274836822705,7.50715990105446,0.562227581749978,3.235108764612202,14.421257183600611,0,0,0,1,1,True
ScenarioFuzzLLM,Town03,4,0,2025-09-23_10-43-26,logs/enriched/tool1/2025-09-23_11-09-43/log/4_0_log_basic.json,0.0,0.0,19.36,3.8,66.49719266184945,94.78251545340426,,806.8409532414147,528.155801066343,536.5265831516463,0.2679261494153869,0.6576637362509031,0.2679261494153869,4.35459371155072,0.6006139928764075,4.902562448256309,9.50121128488363,0.9283984420976493,4.020891287775626,13.894876345283658,1,0,0,1,2,True
