tool,map_name,generation_id,scenario_id,start_time,file_path,crit_MDBV,crit_min_TTC,crit_TET_total,crit_TET_max,func_completion_rate,func_route_stability,func_time_to_completion,func_total_planned_distance,func_actual_distance_traveled,func_max_progress_reached,func_dev_mean,func_dev_rmse,func_dev_mae,func_dev_max,func_dev_std,dyn_mean_speed,dyn_max_speed,dyn_mean_long_acc,dyn_p95_long_acc,dyn_max_long_acc,ev_collision,ev_red_light,ev_speeding,ev_stop_sign,total_failures,is_critical,cluster
TMFuzzer,Town03,2,0,2025-09-22_17-35-03,logs/enriched/tool3/2025-09-22_18-20-06/log/2_0_log_basic.json,8.250652821816226,0.6274573187580165,2.2,2.2,100.0,97.66473918716515,54.48,78.78996089990599,78.88125697747235,78.78996089990599,0.118148005594377,0.446677396693819,0.118148005594377,3.383571757773141,0.4307687842581428,1.3728339276483896,7.455249133999481,0.5192504627546718,3.0849756055904987,13.28019786430744,0,0,0,0,0,False,
TMFuzzer,Town03,5,2,2025-09-22_18-13-31,logs/enriched/tool3/2025-09-22_18-20-06/log/5_2_log_basic.json,3.6260114533740753,0.3729752929050424,3.36,2.24,100.0,97.5372707626378,111.12,181.15338594000232,178.60997267600564,181.15338594000232,0.1246780839823234,0.3895129600653935,0.1246780839823234,3.2633794891186154,0.3690199472025889,1.5627409252121005,7.533172898586624,0.6466989013219075,3.564106381394457,15.553554348449396,0,0,0,0,0,False,
TMFuzzer,Town03,3,4,2025-09-22_17-54-14,logs/enriched/tool3/2025-09-22_18-20-06/log/3_4_log_basic.json,1.672386155766069,0.2502422715942323,5.24,3.88,100.0,97.67401341718076,54.52,78.78996089990599,78.87118230539362,78.78996089990599,0.117673228833549,0.4449750268360138,0.117673228833549,3.365663763657926,0.4291337620411593,1.3717014426690424,7.46007485217139,0.5166259480381448,3.08289492864109,10.352754761378636,0,0,0,0,0,False,
TMFuzzer,Town03,3,0,2025-09-22_17-42-46,logs/enriched/tool3/2025-09-22_18-20-06/log/3_0_log_basic.json,3.673850797188148,0.5892966238736399,3.56,1.76,100.0,96.94968957312896,111.12,181.15338594000232,178.41435827862222,181.15338594000232,0.1548900311602792,0.4019025916935476,0.1548900311602792,3.2167582952407168,0.3708568072142645,1.5622294071458414,7.533057199437689,0.626652159485756,3.412225838179777,14.053149408566991,0,0,0,0,0,False,
TMFuzzer,Town03,5,0,2025-09-22_18-07-27,logs/enriched/tool3/2025-09-22_18-20-06/log/5_0_log_basic.json,0.4616463219243323,0.0962937096106125,26.12,3.96,100.0,96.91988643280769,131.32,497.9752867084724,494.5765039324187,497.9752867084724,0.1564273090132593,0.4085556639290043,0.1564273090132593,3.5169749913810957,0.3774231412133333,3.681739106171848,7.522448189253283,0.6506994186062488,3.3414523698138368,14.44986908125847,0,0,0,1,1,True,0.0
TMFuzzer,Town03,2,1,2025-09-22_17-36-20,logs/enriched/tool3/2025-09-22_18-20-06/log/2_1_log_basic.json,7.37740149713977,1.7063943973428888,0.0,0.0,100.0,97.66473433455168,54.48,78.78996089990599,78.88100913326048,78.78996089990599,0.1181482540265972,0.4466737167142257,0.1181482540265972,3.383169988339342,0.4307649002341845,1.3728227457258722,7.45524913399948,0.5192621221953205,3.084972666577066,13.220198462682744,0,0,0,0,0,False,
TMFuzzer,Town03,2,2,2025-09-22_17-37-37,logs/enriched/tool3/2025-09-22_18-20-06/log/2_2_log_basic.json,11.292987676496468,0.9019695355426492,2.4,2.08,100.0,97.71017186751789,54.48,78.78996089990599,78.88050433236322,78.78996089990599,0.1158225953906615,0.4376679369536546,0.1158225953906615,3.381872045184445,0.4220643901518336,1.3737126179667898,7.455185417546635,0.5192979019825622,2.9907943955976366,14.235183893141064,0,0,0,0,0,False,
TMFuzzer,Town03,4,1,2025-09-22_17-56-44,logs/enriched/tool3/2025-09-22_18-20-06/log/4_1_log_basic.json,7.50893109303848,1.327949710140759,0.36,0.12,100.0,97.5781565057541,111.08,181.15338594000232,178.56002486640747,181.15338594000232,0.1225826195545679,0.3810290413426772,0.1225826195545679,3.159744401055263,0.3607722712871094,1.5613140488199897,7.53174601935036,0.5717131293471086,3.3590173379553745,15.663636217994492,0,0,0,0,0,False,
TMFuzzer,Town03,1,4,2025-09-22_17-29-31,logs/enriched/tool3/2025-09-22_18-20-06/log/1_4_log_basic.json,0.4581179973551077,0.0615939627675832,55.2,4.48,100.0,97.22200277650914,244.56,1061.116778815443,1049.922472115156,1061.116778815443,0.140865670625748,0.3397227073710511,0.140865670625748,3.266209313562142,0.3091413604529085,4.250047542062221,11.733236393254847,0.997270881468848,4.203323777304779,13.8082590639469,0,0,0,2,2,True,3.0
TMFuzzer,Town03,4,3,2025-09-22_18-00-26,logs/enriched/tool3/2025-09-22_18-20-06/log/4_3_log_basic.json,1.063402482941386,0.166249558364029,26.8,3.92,100.0,97.50690425048728,169.2,497.9752867084724,494.5121218787109,497.9752867084724,0.126234988329446,0.3500667109209991,0.126234988329446,3.205244858041276,0.3265140576093333,2.8717955467791474,7.523158970804751,0.6724792069423632,3.330708194793203,15.134605551900073,0,0,0,1,1,True,0.0
TMFuzzer,Town03,1,1,2025-09-22_17-22-38,logs/enriched/tool3/2025-09-22_18-20-06/log/1_1_log_basic.json,7.905531200556264,0.8655624071564922,3.68,2.4,100.0,97.71758316920362,54.52,78.78996089990599,78.86080776666203,78.78996089990599,0.1154433605328547,0.4360316906397379,0.1154433605328547,3.3587685957803086,0.4204717181345607,1.372482960499198,7.459839141027103,0.5169504360544793,3.0168266054638755,13.28019786430744,0,0,0,0,0,False,
TMFuzzer,Town03,5,4,2025-09-22_18-17-02,logs/enriched/tool3/2025-09-22_18-20-06/log/5_4_log_basic.json,8.018609280916477,1.9961399183481887,0.0,0.0,100.0,97.67684771098544,111.12,181.15338594000232,178.0801378773175,181.15338594000232,0.1175281414871957,0.3529927709925903,0.1175281414871957,2.682400091336114,0.3328528688949413,1.5486849566740664,7.531783106940879,0.5939195681104468,3.508525826683209,17.140402695915473,0,0,0,0,0,False,
